Rate coefficients (m3/s)
C1    N2    Elastic                                             
C2    N2    Excitation    0.02 eV                               
C3    N2    Excitation    0.29 eV                               
C4    N2    Excitation    0.29 eV                               
C5    N2    Excitation    0.59 eV                               
C6    N2    Excitation    0.88 eV                               
C7    N2    Excitation    1.17 eV                               
C8    N2    Excitation    1.47 eV                               
C9    N2    Excitation    1.76 eV                               
C10   N2    Excitation    2.06 eV                               
C11   N2    Excitation    2.35 eV                               
C12   N2    Excitation    6.17 eV                               
C13   N2    Excitation    7.00 eV                               
C14   N2    Excitation    7.35 eV                               
C15   N2    Excitation    7.36 eV                               
C16   N2    Excitation    7.80 eV                               
C17   N2    Excitation    8.16 eV                               
C18   N2    Excitation    8.40 eV                               
C19   N2    Excitation    8.55 eV                               
C20   N2    Excitation    8.89 eV                               
C21   N2    Excitation    11.03 eV                              
C22   N2    Excitation    11.87 eV                              
C23   N2    Excitation    12.25 eV                              
C24   N2    Excitation    13.00 eV                              
C25   N2    Ionization    15.60 eV                              
C26   O2    Momentum                                            
C27   O2    Attachment                                          
C28   O2    Attachment                                          
C29   O2    Excitation    0.02 eV                               
C30   O2    Excitation    0.19 eV                               
C31   O2    Excitation    0.19 eV                               
C32   O2    Excitation    0.38 eV                               
C33   O2    Excitation    0.38 eV                               
C34   O2    Excitation    0.57 eV                               
C35   O2    Excitation    0.75 eV                               
C36   O2    Excitation    0.98 eV                               
C37   O2    Excitation    1.63 eV                               
C38   O2    Excitation    4.50 eV                               
C39   O2    Excitation    6.00 eV                               
C40   O2    Excitation    8.40 eV                               
C41   O2    Excitation    9.97 eV                               
C42   O2    Ionization    12.06 eV                              
          R#    E/N (Td) Energy (eV)      C1          C2          C3          C4          C5          C6          C7          C8          C9         C10         C11         C12         C13         C14         C15         C16         C17         C18         C19         C20         C21         C22         C23         C24         C25         C26         C27         C28         C29         C30         C31         C32         C33         C34         C35         C36         C37         C38         C39         C40         C41         C42    
          21   202.8       5.288      0.1433E-12  0.2903E-14  0.3834E-15  0.3513E-14  0.2089E-14  0.1418E-14  0.9421E-15  0.7704E-15  0.6279E-15  0.3304E-15  0.1535E-15  0.4428E-16  0.1771E-15  0.6436E-15  0.5025E-15  0.1578E-15  0.1560E-15  0.1246E-15  0.3240E-15  0.1606E-15  0.8299E-15  0.1338E-16  0.2234E-16  0.2961E-15  0.7189E-16  0.8688E-13  0.9451E-37  0.4129E-16  0.7074E-17  0.1250E-14  0.6122E-16  0.2494E-16  0.5606E-15  0.3169E-15  0.1807E-15  0.7381E-15  0.1712E-15  0.4912E-15  0.1103E-14  0.3726E-14  0.1096E-16  0.1827E-15
          22   212.9       5.490      0.1452E-12  0.2832E-14  0.3956E-15  0.3417E-14  0.2034E-14  0.1379E-14  0.9211E-15  0.7565E-15  0.6203E-15  0.3275E-15  0.1524E-15  0.4795E-16  0.1925E-15  0.6926E-15  0.5513E-15  0.1727E-15  0.1709E-15  0.1365E-15  0.3603E-15  0.1753E-15  0.9355E-15  0.1473E-16  0.2608E-16  0.3575E-15  0.9104E-16  0.8912E-13  0.8793E-37  0.4226E-16  0.6589E-17  0.1298E-14  0.5702E-16  0.2322E-16  0.5822E-15  0.3294E-15  0.1878E-15  0.7599E-15  0.1765E-15  0.5071E-15  0.1156E-14  0.4040E-14  0.1259E-16  0.2198E-15
          23   223.0       5.667      0.1468E-12  0.2766E-14  0.4064E-15  0.3330E-14  0.1983E-14  0.1344E-14  0.9004E-15  0.7411E-15  0.6100E-15  0.3230E-15  0.1506E-15  0.5136E-16  0.2070E-15  0.7372E-15  0.5978E-15  0.1868E-15  0.1850E-15  0.1477E-15  0.3957E-15  0.1889E-15  0.1039E-14  0.1601E-16  0.2993E-16  0.4237E-15  0.1127E-15  0.9108E-13  0.8294E-37  0.4291E-16  0.6228E-17  0.1335E-14  0.5381E-16  0.2194E-16  0.5992E-15  0.3394E-15  0.1935E-15  0.7766E-15  0.1806E-15  0.5190E-15  0.1200E-14  0.4333E-14  0.1426E-16  0.2599E-15
          24   233.1       5.837      0.1481E-12  0.2686E-14  0.4170E-15  0.3230E-14  0.1923E-14  0.1301E-14  0.8722E-15  0.7188E-15  0.5929E-15  0.3157E-15  0.1480E-15  0.5472E-16  0.2213E-15  0.7806E-15  0.6441E-15  0.2009E-15  0.1990E-15  0.1588E-15  0.4317E-15  0.2024E-15  0.1144E-14  0.1727E-16  0.3399E-16  0.4962E-15  0.1375E-15  0.9297E-13  0.7890E-37  0.4346E-16  0.5931E-17  0.1369E-14  0.5119E-16  0.2087E-16  0.6145E-15  0.3484E-15  0.1985E-15  0.7915E-15  0.1842E-15  0.5294E-15  0.1241E-14  0.4624E-14  0.1603E-16  0.3040E-15
          25   243.2       6.017      0.1496E-12  0.2624E-14  0.4280E-15  0.3149E-14  0.1875E-14  0.1268E-14  0.8529E-15  0.7044E-15  0.5826E-15  0.3112E-15  0.1462E-15  0.5819E-16  0.2361E-15  0.8250E-15  0.6918E-15  0.2154E-15  0.2133E-15  0.1702E-15  0.4693E-15  0.2161E-15  0.1252E-14  0.1858E-16  0.3831E-16  0.5762E-15  0.1658E-15  0.9495E-13  0.7431E-37  0.4403E-16  0.5590E-17  0.1403E-14  0.4821E-16  0.1966E-16  0.6299E-15  0.3575E-15  0.2036E-15  0.8072E-15  0.1881E-15  0.5399E-15  0.1283E-14  0.4924E-14  0.1794E-16  0.3529E-15
          26   253.3       6.192      0.1510E-12  0.2562E-14  0.4388E-15  0.3069E-14  0.1828E-14  0.1236E-14  0.8332E-15  0.6899E-15  0.5725E-15  0.3066E-15  0.1443E-15  0.6162E-16  0.2507E-15  0.8682E-15  0.7394E-15  0.2298E-15  0.2275E-15  0.1815E-15  0.5073E-15  0.2296E-15  0.1361E-14  0.1989E-16  0.4281E-16  0.6627E-15  0.1975E-15  0.9687E-13  0.7013E-37  0.4452E-16  0.5282E-17  0.1434E-14  0.4551E-16  0.1857E-16  0.6439E-15  0.3657E-15  0.2082E-15  0.8216E-15  0.1917E-15  0.5492E-15  0.1322E-14  0.5222E-14  0.1995E-16  0.4062E-15
          27   263.4       6.358      0.1522E-12  0.2504E-14  0.4490E-15  0.2995E-14  0.1784E-14  0.1205E-14  0.8146E-15  0.6759E-15  0.5628E-15  0.3019E-15  0.1423E-15  0.6491E-16  0.2648E-15  0.9091E-15  0.7855E-15  0.2438E-15  0.2413E-15  0.1923E-15  0.5450E-15  0.2425E-15  0.1468E-14  0.2114E-16  0.4741E-16  0.7547E-15  0.2325E-15  0.9867E-13  0.6666E-37  0.4487E-16  0.5026E-17  0.1460E-14  0.4326E-16  0.1766E-16  0.6556E-15  0.3727E-15  0.2120E-15  0.8337E-15  0.1947E-15  0.5565E-15  0.1357E-14  0.5511E-14  0.2202E-16  0.4632E-15
          28   273.5       6.519      0.1533E-12  0.2442E-14  0.4589E-15  0.2915E-14  0.1739E-14  0.1174E-14  0.7946E-15  0.6599E-15  0.5506E-15  0.2960E-15  0.1399E-15  0.6812E-16  0.2786E-15  0.9485E-15  0.8309E-15  0.2575E-15  0.2547E-15  0.2028E-15  0.5827E-15  0.2550E-15  0.1575E-14  0.2239E-16  0.5211E-16  0.8522E-15  0.2708E-15  0.1004E-12  0.6369E-37  0.4515E-16  0.4807E-17  0.1482E-14  0.4132E-16  0.1689E-16  0.6660E-15  0.3789E-15  0.2154E-15  0.8445E-15  0.1974E-15  0.5627E-15  0.1389E-14  0.5794E-14  0.2418E-16  0.5243E-15
          29   283.5       6.676      0.1543E-12  0.2382E-14  0.4686E-15  0.2841E-14  0.1694E-14  0.1143E-14  0.7745E-15  0.6440E-15  0.5381E-15  0.2902E-15  0.1374E-15  0.7126E-16  0.2921E-15  0.9865E-15  0.8754E-15  0.2710E-15  0.2678E-15  0.2131E-15  0.6203E-15  0.2671E-15  0.1680E-14  0.2361E-16  0.5692E-16  0.9556E-15  0.3127E-15  0.1021E-12  0.6099E-37  0.4536E-16  0.4610E-17  0.1503E-14  0.3959E-16  0.1619E-16  0.6752E-15  0.3844E-15  0.2184E-15  0.8542E-15  0.1999E-15  0.5679E-15  0.1419E-14  0.6074E-14  0.2642E-16  0.5895E-15
          30   293.6       6.826      0.1552E-12  0.2330E-14  0.4779E-15  0.2776E-14  0.1655E-14  0.1116E-14  0.7572E-15  0.6301E-15  0.5271E-15  0.2849E-15  0.1351E-15  0.7429E-16  0.3052E-15  0.1023E-14  0.9186E-15  0.2841E-15  0.2804E-15  0.2231E-15  0.6576E-15  0.2787E-15  0.1784E-14  0.2480E-16  0.6178E-16  0.1064E-14  0.3578E-15  0.1037E-12  0.5863E-37  0.4549E-16  0.4438E-17  0.1519E-14  0.3808E-16  0.1558E-16  0.6828E-15  0.3891E-15  0.2209E-15  0.8626E-15  0.2021E-15  0.5719E-15  0.1445E-14  0.6346E-14  0.2872E-16  0.6583E-15
